岗位名称	链接	公司	类型	地点	薪水/天	每周最少实习天数	最短实习月份
数据分析实习	/intern/inn_shi6iq2qqatm	滴滴	云计算/大数据	北京	200-260/天	4天/周	6个月
数据分析实习	/intern/inn_m8vzrhjpceym	律动乐器	不限	北京	140-150/天	5天/周	4个月
数据分析实习	/intern/inn_nhz0b3aj8gps	百度	数据库	北京	150-200/天	4天/周	12个月
数据分析实习	/intern/inn_ksgaek6aggwd	S?	市场	上海	100-150/天	5天/周	4个月
大数据分析师	/intern/inn_razdgj2o4aah	大通?成	数据挖掘	北京	100-149/天	5天/周	8个月
数据分析实习	/intern/inn_zl8yonkuxjae	广州行信用卡中心	运营	广州	80-81/天	4天/周	3个月
数据分析实习	/intern/inn_1yo2hy5xauv4	滴滴出行	云计算/大数据	北京	200-260/天	4天/周	6个月
数据分析实习	/intern/inn_go7ceqgaaurd	滴滴出行	软件	北京	200-260/天	4天/周	7个月
金融数据分析师	/intern/inn_mkvjhfgho4me	上海富钜	不限	上海	100-160/天	3天/周	4个月
数据分析实习	/intern/inn_u4ibazjdpm6n	杭州数梦工?科技有限公司	其他类型	",杭州"	150-300/天	4天/周	10个月
数据分析实习	/intern/inn_uub5nh9g0awm	T?????䜩??	咨询	北京	150-200/天	4天/周	10个月
数据分析实习	/intern/inn_8avt7s879el2	滴滴出行	软件	北京	150-260/天	4天/周	6个月
大数据分析工?师	/intern/inn_pj5o0drhe3jz	凤凰新媒体	软件	北京	150-200/天	4天/周	9个月
